,dataset,rewiring,layer_type,num_iterations,brf_batch_add,brf_batch_remove,alpha,eps,test_mean,test_ci,val_mean,val_ci,train_mean,train_ci,energy_mean,energy_ci,last_layer_fa,rewiring_duration,run_duration
2,imdb,sdrf_bfc,GCN,30,4,2,0.1,0.001,48.760000000000005,0.008949279300591754,51.82,0.0094884350659105,49.9525,0.0016728643100981017,0.0,0.0,False,6.254711151123047,2332.1675872802734
3,proteins,sdrf_bfc,GCN,30,4,2,0.1,0.001,70.57142857142858,0.0073796465818811,72.47747747747746,0.00654813050788417,71.02134831460674,0.0027164245346117896,0.0,0.0,False,3.6207163333892822,2948.615698337555
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,68.95,0.020990235825259326,74.83333333333333,0.021742318070107618,69.50666666666666,0.007427564278490703,0.0,0.0,False,0.9148988723754883,739.6187479496002
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,68.95,0.020990235825259326,74.83333333333333,0.021742318070107618,69.50666666666666,0.007427564278490703,0.0,0.0,False,0.9148988723754883,739.6187479496002
1,enzymes,sdrf_bfc,GCN,40,4,2,0.1,0.001,23.8,0.012649813349523295,29.56666666666667,0.009111896985077621,26.329166666666666,0.005470812706231741,0.0,0.0,False,2.021531581878662,1894.1431596279144
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,68.95,0.020990235825259326,74.83333333333333,0.021742318070107618,69.50666666666666,0.007427564278490703,0.0,0.0,False,0.9148988723754883,739.6187479496002
1,enzymes,sdrf_bfc,GCN,40,4,2,0.1,0.001,23.8,0.012649813349523295,29.56666666666667,0.009111896985077621,26.329166666666666,0.005470812706231741,0.0,0.0,False,2.021531581878662,1894.1431596279144
2,imdb,sdrf_bfc,GCN,40,4,2,0.1,0.001,48.339999999999996,0.008718807257876503,51.32,0.009649373036627818,50.043749999999996,0.00160521610694635,0.0,0.0,False,9.492643594741821,2317.8816888332367
0,mutag,sdrf_bfc,GCN,40,4,2,0.1,0.001,68.95,0.020990235825259326,74.83333333333333,0.021742318070107618,69.50666666666666,0.007427564278490703,0.0,0.0,False,0.9148988723754883,739.6187479496002
1,enzymes,sdrf_bfc,GCN,40,4,2,0.1,0.001,23.8,0.012649813349523295,29.56666666666667,0.009111896985077621,26.329166666666666,0.005470812706231741,0.0,0.0,False,2.021531581878662,1894.1431596279144
2,imdb,sdrf_bfc,GCN,40,4,2,0.1,0.001,48.339999999999996,0.008718807257876503,51.32,0.009649373036627818,50.043749999999996,0.00160521610694635,0.0,0.0,False,9.492643594741821,2317.8816888332367
3,proteins,sdrf_bfc,GCN,40,4,2,0.1,0.001,70.40178571428571,0.009943639003536533,72.77477477477477,0.008522274914026816,71.07640449438203,0.0034601166922955777,0.0,0.0,False,3.963345766067505,3148.045214176178
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,69.3,0.020833626664601625,73.11111111111109,0.02527478614775632,70.08666666666666,0.007420464196321473,0.0,0.0,False,0.8731601238250732,744.6812722682953
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,69.3,0.020833626664601625,73.11111111111109,0.02527478614775632,70.08666666666666,0.007420464196321473,0.0,0.0,False,0.8731601238250732,744.6812722682953
1,enzymes,sdrf_bfc,GCN,5,4,2,0.1,0.001,25.35,0.010459392376657876,31.95,0.009798582663947997,29.52916666666667,0.006603508116482059,0.0,0.0,False,1.1054704189300537,2039.5687801837921
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,69.3,0.020833626664601625,73.11111111111109,0.02527478614775632,70.08666666666666,0.007420464196321473,0.0,0.0,False,0.8731601238250732,744.6812722682953
1,enzymes,sdrf_bfc,GCN,5,4,2,0.1,0.001,25.35,0.010459392376657876,31.95,0.009798582663947997,29.52916666666667,0.006603508116482059,0.0,0.0,False,1.1054704189300537,2039.5687801837921
2,imdb,sdrf_bfc,GCN,5,4,2,0.1,0.001,48.55999999999999,0.008329801918413187,51.2,0.00897997772825746,50.0325,0.001538513893339932,0.0,0.0,False,2.6497714519500732,2339.8653864860535
0,mutag,sdrf_bfc,GCN,5,4,2,0.1,0.001,69.3,0.020833626664601625,73.11111111111109,0.02527478614775632,70.08666666666666,0.007420464196321473,0.0,0.0,False,0.8731601238250732,744.6812722682953
1,enzymes,sdrf_bfc,GCN,5,4,2,0.1,0.001,25.35,0.010459392376657876,31.95,0.009798582663947997,29.52916666666667,0.006603508116482059,0.0,0.0,False,1.1054704189300537,2039.5687801837921
2,imdb,sdrf_bfc,GCN,5,4,2,0.1,0.001,48.55999999999999,0.008329801918413187,51.2,0.00897997772825746,50.0325,0.001538513893339932,0.0,0.0,False,2.6497714519500732,2339.8653864860535
3,proteins,sdrf_bfc,GCN,5,4,2,0.1,0.001,71.43749999999999,0.008126451989569341,73.81981981981983,0.0067840649356093324,71.36067415730338,0.0025146248154304224,0.0,0.0,False,2.200380325317383,3155.2121226787567
